1,1
2,1
3,3
4,2
5,2
6,3
7,3
8,2
9,2
10,1
11,3
12,1
13,3
14,1
15,3
16,3
17,1
18,2
19,2
20,3
21,3
22,3
23,3
24,2
25,1
26,3
27,3
28,3
29,1
30,1
31,3
32,2
33,3
34,1
35,3
36,1
37,1
38,3
39,3
40,2
41,1
42,3
43,2
44,1
45,1
46,3
47,1
48,1
49,1
50,3
51,1
52,1
53,2
54,1
55,3
56,3
57,1
58,2
59,1
60,1
61,2
62,1
63,1
64,3
65,2
66,3
67,1
68,1
69,1
70,1
71,3
72,2
73,3
74,3
75,3
76,2
77,3
78,3
79,2
80,3
81,2
82,2
83,2
84,3
85,3
86,3
87,3
88,2
89,2
90,1
91,2
92,3
93,2
94,1
95,3
96,3
97,3
98,1
99,2
100,2
101,2
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,2
111,1
112,2
113,3
114,2
115,3
116,3
117,2
118,2
119,2
120,3
121,1
122,2
123,2
124,3
125,2
126,3
127,1
128,2
129,2
130,1
131,3
132,3
133,2
134,3
135,2
136,1
137,3
138,1
139,3
140,2
141,1
142,3
143,3
144,1
145,1
146,2
147,3
148,2
149,1
150,2
151,3
152,3
153,1
154,3
155,1
156,3
157,3
158,3
159,1
160,2
161,3
162,2
163,1
164,1
165,3
166,3
167,2
168,1
169,2
170,1
171,1
172,2
173,1
174,3
175,1
176,1
177,1
178,3
179,1
180,3
181,2
182,2
183,1
184,1
185,3
186,3
187,1
188,2
189,2
190,1
191,3
192,3
193,1
194,2
195,3
196,1
197,1
198,2
199,3
200,2
201,3
202,1
203,1
204,1
205,2
206,1
207,2
208,2
209,2
210,2
211,3
212,1
213,2
214,1
215,1
216,2
217,3
218,1
219,1
220,3
221,1
222,3
223,3
224,2
225,2
226,3
227,1
228,3
229,1
230,3
231,2
232,2
233,3
234,3
235,2
236,1
237,1
238,1
239,2
240,3
241,3
242,2
243,1
244,3
245,1
246,3
247,3
248,2
249,3
250,3
251,1
252,2
253,2
254,2
255,2
256,3
257,3
258,3
259,3
260,2
261,3
262,2
263,1
264,3
265,2
266,3
267,3
268,2
269,3
270,1
271,2
272,2
273,2
274,3
275,1
276,3
277,3
278,3
279,2
280,3
281,1
282,2
283,3
284,2
285,1
286,3
287,2
288,1
289,2
290,1
291,3
292,2
293,2
294,3
295,3
296,3
297,1
298,2
299,3
300,3
301,1
302,1
303,3
304,2
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,1
313,1
314,3
315,2
316,3
317,2
318,2
319,1
320,3
321,3
322,1
323,2
324,1
325,3
326,1
327,1
328,1
329,2
330,3
331,1
332,3
333,3
334,3
335,2
336,2
337,3
338,1
339,1
340,2
341,3
342,3
343,2
344,3
345,2
346,3
347,3
348,3
349,2
350,3
351,3
352,2
353,1
354,3
355,2
356,1
357,3
358,3
359,1
360,2
361,2
362,3
363,1
364,1
365,3
366,1
367,1
368,2
369,3
370,2
371,2
372,3
373,1
374,3
375,2
376,2
377,3
378,2
379,3
380,3
381,1
382,3
383,1
384,1
385,2
386,3
387,3
388,1
389,3
390,3
391,3
392,1
393,3
394,2
395,3
396,3
397,3
398,3
399,1
400,2
401,2
402,2
403,3
404,2
405,3
406,1
407,2
408,1
409,1
410,1
411,2
412,1
413,2
414,2
415,1
416,1
417,3
418,1
419,3
420,3
421,1
422,1
423,3
424,3
425,2
426,2
427,3
428,1
429,2
430,2
431,2
432,2
433,2
434,3
435,2
436,1
437,3
438,2
439,1
440,3
441,2
442,1
443,1
444,3
445,3
446,3
447,1
448,2
449,3
450,2
451,3
452,1
453,2
454,3
455,1
456,3
457,3
458,2
459,1
460,3
461,2
462,1
463,1
464,1
465,3
466,1
467,3
468,3
469,2
470,2
471,1
472,3
473,2
474,3
475,2
476,2
477,2
478,2
479,2
480,1
481,1
482,1
483,2
484,1
485,3
486,1
487,3
488,3
489,3
490,1
491,1
492,2
493,1
494,1
495,3
496,1
497,1
498,3
499,1
500,3
501,3
502,1
503,2
504,3
505,3
506,3
507,1
508,2
509,2
510,3
511,2
512,3
513,1
514,1
515,3
516,1
517,1
518,3
519,1
520,2
521,3
522,2
523,2
524,3
525,2
526,2
527,2
528,3
529,1
530,2
